Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/api/v1/auth/login,"ConnectionResetError(10054, 'Se ha forzado la interrupción de una conexión existente por el host remoto', None, 10054, None)",1,2026-08-24T13:48:47Z,2026-08-24T13:48:47Z
POST,/api/v1/auth/login,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/auth/login'),16,2026-08-24T13:48:16Z,2026-08-24T13:48:18Z
GET,"/api/v1/tickets [GET admin, sin filtro]","HTTPError('500 Server Error: Internal Server Error for url: /api/v1/tickets [GET admin, sin filtro]')",26,2026-08-24T13:48:17Z,2026-08-24T13:49:12Z
GET,/api/v1/tickets [GET lista],HTTPError('500 Server Error: Internal Server Error for url: /api/v1/tickets [GET lista]'),8,2026-08-24T13:48:19Z,2026-08-24T13:49:00Z
POST,/api/v1/tickets [POST crear],HTTPError('500 Server Error: Internal Server Error for url: /api/v1/tickets [POST crear]'),4,2026-08-24T13:48:19Z,2026-08-24T13:49:01Z
