Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/api/v1/auth/login,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/auth/login'),18,2026-08-24T13:55:44Z,2026-08-24T13:57:18Z
GET,"/api/v1/tickets [GET admin, sin filtro]","HTTPError('500 Server Error: Internal Server Error for url: /api/v1/tickets [GET admin, sin filtro]')",136,2026-08-24T13:55:42Z,2026-08-24T13:57:19Z
GET,/api/v1/tickets [GET lista],HTTPError('500 Server Error: Internal Server Error for url: /api/v1/tickets [GET lista]'),189,2026-08-24T13:55:39Z,2026-08-24T13:57:18Z
POST,/api/v1/tickets [POST crear],HTTPError('500 Server Error: Internal Server Error for url: /api/v1/tickets [POST crear]'),39,2026-08-24T13:55:53Z,2026-08-24T13:57:19Z
