Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login,59,16,230,422.06036779433646,22.52920001046732,1745.886899996549,492.23728813559325,0.5026493940535653,0.13631170008232282,230,300,510,650,1500,1700,1700,1700,1700,1700,1700
GET,"/api/v1/tickets [GET admin, sin filtro]",360,118,56,253.0776227771033,14.80409997748211,1797.836699988693,220410.68055555556,3.0670132518522633,1.0052987881071307,58,85,130,200,1200,1400,1500,1500,1800,1800,1800
GET,/api/v1/tickets [GET lista],558,198,47,237.2685181002857,13.354100054129958,1744.5154000306502,82762.74551971327,4.753870540371008,1.6868572885187447,48,74,110,240,1100,1300,1400,1500,1700,1700,1700
POST,/api/v1/tickets [POST crear],78,24,80,178.83349102712833,22.092999948654324,1379.8902000417002,523.0769230769231,0.6645195379013237,0.20446755012348422,81,96,120,130,520,1200,1400,1400,1400,1400,1400
,Aggregated,1055,356,56,248.67711023668102,13.354100054129958,1797.836699988693,119051.4682464455,8.98805272417816,3.0329353268316828,56,89,150,250,1100,1300,1500,1500,1800,1800,1800
