Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login,59,16,220,370.9112711909811,27.607199968770146,1588.2774000056088,490.20338983050846,0.49779045984489856,0.13499402300878605,220,270,420,500,1200,1500,1500,1600,1600,1600,1600
GET,"/api/v1/tickets [GET admin, sin filtro]",401,122,57,215.96643565953627,15.190399950370193,1723.715899977833,247168.4289276808,3.3832877016577005,1.0293294254419936,57,81,110,160,960,1300,1500,1600,1700,1700,1700
GET,/api/v1/tickets [GET lista],537,175,48,226.67594711331813,14.534900023136288,1629.4083999819122,105133.70391061452,4.530736897232382,1.4764971266585973,48,68,98,150,990,1300,1400,1500,1600,1600,1600
POST,/api/v1/tickets [POST crear],100,30,77,276.8052830034867,23.209900013171136,1656.8059000419453,522.83,0.8437126438049128,0.25311379314147386,78,100,150,200,1400,1500,1600,1700,1700,1700,1700
,Aggregated,1097,343,56,235.0882567000387,14.534900023136288,1723.715899977833,141889.2835004558,9.255527702539894,2.893934368250851,56,82,120,200,1000,1300,1500,1600,1700,1700,1700
