Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login,30,17,590,1725.8564866652403,149.5134000433609,30044.18839997379,446.5,0.5315935506229035,0.30123634535297866,620,940,1200,1400,1800,1900,30000,30000,30000,30000,30000
GET,"/api/v1/tickets [GET admin, sin filtro]",129,26,230,519.9469108537901,37.417200044728816,1859.726700000465,170453.86046511628,2.2858522676784854,0.46071441053984974,230,480,900,1200,1500,1700,1800,1900,1900,1900,1900
GET,/api/v1/tickets [GET lista],67,8,420,614.3015059685932,29.541999974753708,1769.5889999740757,11865.820895522387,1.187225596391151,0.14175828016610761,420,890,1200,1300,1400,1600,1700,1800,1800,1800,1800
POST,/api/v1/tickets [POST crear],19,4,180,486.69331052990043,65.31199999153614,1815.9942000056617,518.1578947368421,0.3366759153945056,0.07087914008305381,180,370,790,1100,1500,1800,1800,1800,1800,1800,1800
,Aggregated,245,55,320,690.8335506124897,29.541999974753708,30044.18839997379,93088.97142857143,4.3413473300870455,0.9745881761419898,320,610,1100,1200,1500,1700,1800,1900,30000,30000,30000
