Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/api/v1/auth/login,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/auth/login'),16,2026-08-24T13:53:42Z,2026-08-24T13:55:11Z
GET,"/api/v1/tickets [GET admin, sin filtro]","HTTPError('500 Server Error: Internal Server Error for url: /api/v1/tickets [GET admin, sin filtro]')",109,2026-08-24T13:53:37Z,2026-08-24T13:55:12Z
GET,/api/v1/tickets [GET lista],HTTPError('500 Server Error: Internal Server Error for url: /api/v1/tickets [GET lista]'),202,2026-08-24T13:53:35Z,2026-08-24T13:55:11Z
POST,/api/v1/tickets [POST crear],HTTPError('500 Server Error: Internal Server Error for url: /api/v1/tickets [POST crear]'),31,2026-08-24T13:53:54Z,2026-08-24T13:55:11Z
