Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login,30,19,690,1017.7915833269557,294.88439997658134,2213.9955000020564,457.2,0.5027685989801706,0.31842011268744136,1200,1300,1600,1600,2200,2200,2200,2200,2200,2200,2200
GET,"/api/v1/tickets [GET admin, sin filtro]",85,7,190,582.4808588251472,26.21999999973923,2003.1628999859095,189189.56470588237,1.4245110304438164,0.11731267309537312,190,870,1100,1300,1500,1800,1800,2000,2000,2000,2000
GET,/api/v1/tickets [GET lista],98,13,180,383.54378265366717,21.525299991481006,1370.7618999760598,5257.2040816326535,1.6423774233352237,0.21786639289140725,210,400,700,810,1100,1200,1300,1400,1400,1400,1400
POST,/api/v1/tickets [POST crear],18,2,280,699.8178722214005,62.53600004129112,2714.6836000028998,514.3888888888889,0.30166115938810234,0.03351790659867804,450,620,1100,1100,2300,2700,2700,2700,2700,2700,2700
,Aggregated,231,41,290,563.7603155843756,21.525299991481006,2714.6836000028998,71944.99567099568,3.871318212147313,0.6871170852728997,290,700,1000,1200,1400,1800,2200,2200,2700,2700,2700
