Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/api/v1/auth/login,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/auth/login'),21,2026-08-24T13:49:24Z,2026-08-24T13:49:27Z
GET,"/api/v1/tickets [GET admin, sin filtro]","HTTPError('500 Server Error: Internal Server Error for url: /api/v1/tickets [GET admin, sin filtro]')",2,2026-08-24T13:50:12Z,2026-08-24T13:50:12Z
GET,/api/v1/tickets [GET lista],HTTPError('500 Server Error: Internal Server Error for url: /api/v1/tickets [GET lista]'),3,2026-08-24T13:49:28Z,2026-08-24T13:50:12Z
