Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login,60,21,200,398.930520004554,26.758200023323298,1698.711299977731,489.45,0.5047177450359466,0.1766512107625813,200,290,390,530,1400,1700,1700,1700,1700,1700,1700
GET,"/api/v1/tickets [GET admin, sin filtro]",343,120,75,279.34441253517105,14.255599991884083,1784.7940999781713,195602.50728862974,2.8853031091221615,1.0094354900718931,75,130,200,320,1100,1400,1500,1600,1800,1800,1800
GET,/api/v1/tickets [GET lista],505,203,60,245.76068356515617,14.740599959623069,1705.3416999988258,60898.88514851485,4.248041020719217,1.7076283707049527,60,100,170,240,1100,1300,1500,1500,1700,1700,1700
POST,/api/v1/tickets [POST crear],93,21,120,332.99246774260354,35.09299998404458,2133.1834999728017,519.0752688172043,0.7823125048057172,0.1766512107625813,120,180,210,430,1300,1500,1800,2100,2100,2100,2100
,Aggregated,1001,365,75,274.55385554475816,14.255599991884083,2133.1834999728017,97825.41258741259,8.420374379683043,3.070366282302009,75,130,200,320,1100,1400,1500,1600,1800,2100,2100
