Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login,30,16,330,520.1543500006665,93.11829996295273,1385.9009000007063,465.7,0.5116408895523988,0.27287514109461275,330,560,730,850,1400,1400,1400,1400,1400,1400,1400
GET,"/api/v1/tickets [GET admin, sin filtro]",120,23,65,287.16367583256215,23.555000021588057,1518.1298999814317,187599.425,2.0465635582095953,0.3922580153235058,66,120,220,680,1000,1300,1400,1400,1500,1500,1500
GET,/api/v1/tickets [GET lista],129,26,64,406.08109689729156,18.213699979241937,1457.6187999919057,25731.697674418603,2.200055825075315,0.4434221042787457,64,610,810,970,1200,1400,1400,1500,1500,1500,1500
POST,/api/v1/tickets [POST crear],20,3,140,596.0604549967684,38.225999975111336,1753.1803000019863,515.45,0.3410939263682659,0.05116408895523989,150,1100,1200,1300,1600,1800,1800,1800,1800,1800,1800
,Aggregated,299,68,93,382.50816789168374,18.213699979241937,1753.1803000019863,86473.57859531773,5.0993541992055755,1.159719349652104,93,330,730,900,1200,1400,1400,1500,1800,1800,1800
