Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login,30,19,510,2584.3752166741374,116.06029997346923,30024.722500005737,427.6333333333333,0.5213975090765258,0.33021842241513305,510,630,840,1500,1800,30000,30000,30000,30000,30000,30000
GET,"/api/v1/tickets [GET admin, sin filtro]",99,7,200,477.4347545415624,27.546399971470237,2548.3907000161707,209229.19191919192,1.7206117799525353,0.1216594187845227,200,500,880,990,1300,1700,2000,2500,2500,2500,2500
GET,/api/v1/tickets [GET lista],80,11,120,432.4434500063944,21.401300036814064,1872.5941999582574,21710.975,1.3903933575374023,0.19117908666139283,120,400,820,1000,1300,1500,1700,1900,1900,1900,1900
POST,/api/v1/tickets [POST crear],14,1,540,643.6698571529372,46.57419997965917,1574.1464999737218,511.7857142857143,0.2433188375690454,0.017379916969217528,800,880,1200,1300,1500,1600,1600,1600,1600,1600,1600
,Aggregated,223,38,210,755.1755659214864,21.401300036814064,30024.722500005737,100764.85201793721,3.875721484135509,0.6604368448302661,210,630,870,1000,1400,1600,1900,2500,30000,30000,30000
