Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/api/v1/auth/login,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/auth/login'),21,2026-08-24T13:57:41Z,2026-08-24T13:59:23Z
GET,"/api/v1/tickets [GET admin, sin filtro]","HTTPError('500 Server Error: Internal Server Error for url: /api/v1/tickets [GET admin, sin filtro]')",120,2026-08-24T13:57:46Z,2026-08-24T13:59:24Z
GET,/api/v1/tickets [GET lista],HTTPError('500 Server Error: Internal Server Error for url: /api/v1/tickets [GET lista]'),203,2026-08-24T13:57:55Z,2026-08-24T13:59:24Z
POST,/api/v1/tickets [POST crear],HTTPError('500 Server Error: Internal Server Error for url: /api/v1/tickets [POST crear]'),21,2026-08-24T13:58:06Z,2026-08-24T13:59:21Z
