Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/api/v1/auth/login,"ConnectionResetError(10054, 'Se ha forzado la interrupción de una conexión existente por el host remoto', None, 10054, None)",2,2026-08-24T13:51:00Z,2026-08-24T13:51:00Z
POST,/api/v1/auth/login,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/auth/login'),17,2026-08-24T13:50:28Z,2026-08-24T13:50:30Z
GET,"/api/v1/tickets [GET admin, sin filtro]","HTTPError('500 Server Error: Internal Server Error for url: /api/v1/tickets [GET admin, sin filtro]')",7,2026-08-24T13:50:35Z,2026-08-24T13:51:16Z
GET,/api/v1/tickets [GET lista],HTTPError('500 Server Error: Internal Server Error for url: /api/v1/tickets [GET lista]'),11,2026-08-24T13:50:35Z,2026-08-24T13:51:11Z
POST,/api/v1/tickets [POST crear],HTTPError('500 Server Error: Internal Server Error for url: /api/v1/tickets [POST crear]'),1,2026-08-24T13:51:02Z,2026-08-24T13:51:02Z
