Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/api/v1/auth/login,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/auth/login'),19,2026-08-24T13:47:10Z,2026-08-24T13:47:10Z
GET,"/api/v1/tickets [GET admin, sin filtro]","HTTPError('500 Server Error: Internal Server Error for url: /api/v1/tickets [GET admin, sin filtro]')",7,2026-08-24T13:47:18Z,2026-08-24T13:47:48Z
GET,/api/v1/tickets [GET lista],HTTPError('500 Server Error: Internal Server Error for url: /api/v1/tickets [GET lista]'),13,2026-08-24T13:47:18Z,2026-08-24T13:48:02Z
POST,/api/v1/tickets [POST crear],HTTPError('500 Server Error: Internal Server Error for url: /api/v1/tickets [POST crear]'),2,2026-08-24T13:47:43Z,2026-08-24T13:48:02Z
