Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login,60,16,200,392.39418500413495,33.21910003433004,1867.3979000304826,492.31666666666666,0.5073209509600375,0.13528558692267667,200,260,450,550,1400,1600,1600,1900,1900,1900,1900
GET,"/api/v1/tickets [GET admin, sin filtro]",368,109,57,230.78330189942474,19.43440001923591,1627.0917999790981,173842.22282608695,3.1115684992215633,0.9216330609107348,57,96,140,180,1000,1300,1500,1500,1600,1600,1600
GET,/api/v1/tickets [GET lista],559,202,43,222.3460774600909,18.467499990947545,1658.6929999757558,30478.919499105545,4.726540193111016,1.707980534898793,43,65,100,140,1100,1300,1400,1500,1700,1700,1700
POST,/api/v1/tickets [POST crear],91,31,86,327.57123626236404,24.456199957057834,1540.539000008721,524.8681318681319,0.7694367756227236,0.26211582466268607,86,120,240,380,1300,1400,1500,1500,1500,1500,1500
,Aggregated,1078,358,54,243.5736048231005,18.467499990947545,1867.3979000304826,75221.66604823747,9.11486641891534,3.0270150073948905,54,92,150,210,1100,1400,1500,1500,1700,1900,1900
