Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login,60,18,200,348.533623329907,31.225700047798455,1817.2681999858469,488.55,0.504610550729683,0.15138316521890488,200,250,310,520,1200,1500,1600,1800,1800,1800,1800
GET,"/api/v1/tickets [GET admin, sin filtro]",384,136,55,261.3011007802015,14.695600024424493,1850.446299999021,177143.953125,3.229507524669971,1.1437839149872815,56,85,140,220,1200,1400,1500,1600,1900,1900,1900
GET,/api/v1/tickets [GET lista],527,189,47,235.8197318797576,14.00699996156618,1768.130399985239,47772.77609108159,4.432162670575716,1.5895232347985013,47,82,120,180,1100,1300,1500,1500,1800,1800,1800
POST,/api/v1/tickets [POST crear],101,39,86,352.4753237615736,17.749899998307228,1678.3155999728478,527.0297029702971,0.8494277603949664,0.32799685797429395,86,160,320,650,1400,1400,1600,1700,1700,1700,1700
,Aggregated,1072,382,56,262.24687173502144,14.00699996156618,1850.446299999021,87016.86007462686,9.015708506370336,3.2126871729789817,56,99,160,250,1200,1400,1500,1600,1800,1900,1900
