Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login,30,21,360,648.0452499973277,166.14009998738766,1942.692399956286,451.0,0.5288688548806749,0.37020819841647246,430,540,920,1000,1700,1800,1900,1900,1900,1900,1900
GET,"/api/v1/tickets [GET admin, sin filtro]",74,2,180,397.8989081019913,31.27809998113662,1530.5961000267416,213572.8108108108,1.3045431753723316,0.03525792365871166,190,360,550,900,1300,1400,1500,1500,1500,1500,1500
GET,/api/v1/tickets [GET lista],83,3,180,422.0331939756421,21.64160000393167,1516.4214000105858,18692.421686746988,1.463203831836534,0.05288688548806749,180,380,780,960,1300,1400,1500,1500,1500,1500,1500
POST,/api/v1/tickets [POST crear],13,0,310,403.7559000022996,44.50140002882108,1284.441199968569,508.3076923076923,0.2291765037816258,0.0,310,410,450,770,1200,1300,1300,1300,1300,1300,1300
,Aggregated,200,26,230,445.8172924973769,21.64160000393167,1942.692399956286,86879.985,3.5257923658711663,0.4583530075632516,240,430,630,960,1300,1500,1700,1800,1900,1900,1900
